name,furigana,alphabet,keywords,abroad,country,prefecture,area,latitude,longitude,tmp_name
神子元,みこもと,mikomoto,,false,日本,静岡,伊豆,34.5750162,138.9418759,神子元,1
伊豆海洋公園,いずかいようこうえん,izukaiyoukouen,,false,日本,静岡,伊豆,34.8846838,139.13231259999998,伊豆海洋公園,2
西川名,にしかわな,nishikawana,,false,日本,千葉,,34.961739,139.756560,西川名,3
八幡野,やはたの,yahatano,,false,日本,静岡,伊豆,34.869059,139.104246,八幡野,4
ケラマ,けらま,kerama,,false,日本,沖縄,,26.200922,127.335393,ケラマ諸島,5
伊豆大島,いずおおしま,izuoshima,,false,日本,静岡,伊豆,34.736251,139.402770,伊豆大島,6
久米島,くめじま,kumejima,,false,日本,沖縄,,26.349920,126.772035,久米島,7
パラオ,ぱらお,parao,,true,パラオ,,,7.519524,134.574170,パラオ,8
タヒチ,たひち,tahiti,,true,フランス,,,-17.648341,-149.429219,タヒチ,9
富戸,ふと,futo,,false,日本,静岡,伊豆,34.909217,139.140704,富戸,10
川奈,かわな,kawana,,false,日本,静岡,伊豆,34.955492,139.137029,川奈,11
宍喰・甲浦,ししくい・かんのうら,shihiskuikannoura,,false,日本,徳島高知,,33.567727,134.308340,宍喰・甲浦,12
小笠原父島,おがさわらちちじま,ogasawarachichijima,,false,日本,東京,小笠原,27.079435,142.210834,小笠原父島,13
セブ,せぶ,sebu,,true,フィリピン,,,10.3156992,123.88543660000005,フィリピン／セブ,14
粟国島,あぐにじま,agunijima,,false,日本,沖縄,,26.589229,127.229183,粟国島,15
モルディブ,もるでぃぶ,morudhibumaldives,モルジブ,true,モルディブ,,,1.894553,73.529237,モルディブ,16
沖縄本島,おきなわほんとう,okinawahontou,,false,日本,沖縄,,26.507446,127.945404,沖縄本島,17
サムイ・タオ,たいさむいたお,taisamuitao,,true,タイ,,,9.514152,100.013165,タイ／サムイ・タオ,18
グアム,ぐあむ,guamuguam,,true,アメリカ,,,13.452545,144.768232,グアム,19
沖縄本島南部(那覇・浦添),おきなわほんとうなんぶなはうらそえ,okinawahontounanbunahaurasoe,,false,日本,沖縄,,26.257505,127.665655,沖縄本島南部(那覇・浦添) ,20
石垣島,いしがきじま,ishigakijima,,false,日本,沖縄,,24.413914,124.178214,石垣島,21
庄内,しょうない,syounai,,false,日本,山形,,38.767951,139.671822,庄内,22
宮川湾,みやがわわん,miyagawawan,,false,日本,神奈川,,35.139208,139.633607,宮川湾,23
大瀬崎,おおせざき,oosezaki,,false,日本,静岡,伊豆,35.025253,138.787043,大瀬崎,24
佐多岬,さたみさき,satamisaki,,false,日本,鹿児島,,30.994960,130.661819,佐多岬,25
紀伊大島,きいおおしま,kiiooshimakiioshima,,false,日本,和歌山,,33.465993,135.825476,紀伊大島,26
初島,はつしま,hatsushima,,false,日本,静岡,伊豆,35.042903,139.172091,初島,27
三木浦,みきうら,mikiura,,false,日本,三重,,33.986270,136.239127,三木浦,28
渡嘉敷島,とかしきじま,tokashikijima,,false,日本,沖縄,,26.190816,127.356392,渡嘉敷島,29
宮古島・伊良部島・下地島,みやこじまいらぶじましもじしま,miyakojimairabujimashimojishima,,false,日本,沖縄,,24.819652,125.240368,宮古島・伊良部島・下地島,30
